"country","series","Unit","Date","Value"
"United States","GDP per capita (constant LCU)","constant LCU","1995","41833.6310104477"
"United States","GDP per capita (constant LCU)","constant LCU","1996","42909.6738962263"
"United States","GDP per capita (constant LCU)","constant LCU","1997","44281.6047136145"
"United States","GDP per capita (constant LCU)","constant LCU","1998","45729.8452427734"
"United States","GDP per capita (constant LCU)","constant LCU","1999","47356.5441388331"
"United States","GDP per capita (constant LCU)","constant LCU","2000","48765.5001250326"
"United States","GDP per capita (constant LCU)","constant LCU","2001","48767.2795676989"
"United States","GDP per capita (constant LCU)","constant LCU","2002","49158.4437956379"
"United States","GDP per capita (constant LCU)","constant LCU","2003","50132.2361084831"
"United States","GDP per capita (constant LCU)","constant LCU","2004","51557.3354796333"
"United States","GDP per capita (constant LCU)","constant LCU","2005","52879.0090153278"
"United States","GDP per capita (constant LCU)","constant LCU","2006","53866.7653799697"
"United States","GDP per capita (constant LCU)","constant LCU","2007","54357.9578821659"
"United States","GDP per capita (constant LCU)","constant LCU","2008","53772.6857023529"
"United States","GDP per capita (constant LCU)","constant LCU","2009","51951.1705713081"
"United States","GDP per capita (constant LCU)","constant LCU","2010","52843.7962570653"
"United States","GDP per capita (constant LCU)","constant LCU","2011","53278.3189290184"
"United States","GDP per capita (constant LCU)","constant LCU","2012","54082.0831897449"
"United States","GDP per capita (constant LCU)","constant LCU","2013","54701.351833849"
"United States","GDP per capita (constant LCU)","constant LCU","2014","55636.3738222909"
"United States","GDP per capita (constant LCU)","constant LCU","2015","56822.5188202456"
"United States","GDP per capita (constant LCU)","constant LCU","2016","57300.9167588349"
"United States","GDP per capita (constant LCU)","constant LCU","2017","58202.8581979458"
"United States","GDP per capita (constant LCU)","constant LCU","2018","59594.5447289071"
"United States","GDP per capita (constant LCU)","constant LCU","2019","60696.8718376129"
